epoch,train_loss,val_loss,train_acc,val_acc,train_balanced_acc,val_balanced_acc,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1,val_min_class_acc,val_max_class_acc,val_class_gap,val_composite_score,fairness_ok,train_class_acc_Discoide,val_class_acc_Discoide,train_class_acc_Levallois,val_class_acc_Levallois,train_class_acc_Laminaire,val_class_acc_Laminaire
1,0.9574777000299458,6.592110261395203,0.533498759305211,0.263681592039801,0.560926640411442,0.3333333333333333,0.5716196126871798,0.06952798198064405,0.533498759305211,0.263681592039801,0.536368478088408,0.11004034943393269,0.0,1.0,1.0,0.21333333333333332,0,0.6188118811881188,0.0,0.4413265306122449,0.0,0.6226415094339622,1.0
2,0.9327281450219544,1.3037551730426389,0.5297766749379652,0.3383084577114428,0.5571651601047668,0.3525863175458863,0.5567614842502263,0.28865008450627083,0.5297766749379652,0.3383084577114428,0.5296596816083022,0.27602932046157824,0.0,0.7924528301886793,0.7924528301886793,0.2574919779232448,0,0.6336633663366337,0.0,0.4387755102040816,0.2653061224489796,0.5990566037735849,0.7924528301886793
3,0.8645381519279765,0.8744317195308742,0.5732009925558312,0.5422885572139303,0.5912804314701782,0.5596123732511873,0.588603043837482,0.569108464316634,0.5732009925558312,0.5422885572139303,0.5744451067827664,0.5431823027282701,0.47959183673469385,0.6792452830188679,0.19965344628417403,0.5356539596970864,1,0.5891089108910891,0.52,0.5102040816326531,0.47959183673469385,0.6745283018867925,0.6792452830188679
4,0.8596759253636779,0.8176668748926761,0.5818858560794045,0.5970149253731343,0.5924124179841934,0.6358336542164036,0.5987481663926307,0.633794710714139,0.5818858560794045,0.5970149253731343,0.5853796242842894,0.5949175528881167,0.46938775510204084,0.74,0.27061224489795915,0.6033601848286485,0,0.6039603960396039,0.74,0.5459183673469388,0.46938775510204084,0.6273584905660378,0.6981132075471698
5,0.8518542237672262,0.8725584279838486,0.575682382133995,0.5373134328358209,0.6004908875562182,0.5896187909125915,0.6028867486498906,0.5888325623016141,0.575682382133995,0.5373134328358209,0.5779091295833126,0.5273212286147609,0.3673469387755102,0.76,0.3926530612244898,0.5425004235656528,0,0.6534653465346535,0.76,0.4923469387755102,0.3673469387755102,0.6556603773584906,0.6415094339622641
6,0.8351652216970477,0.8861929382850875,0.5905707196029777,0.6119402985074627,0.6323116861166286,0.5699345398536774,0.6300495232144618,0.6108354984881444,0.5905707196029777,0.6119402985074627,0.5879086683372707,0.6030690883318501,0.38,0.7448979591836735,0.3648979591836735,0.5261467847516366,0,0.7425742574257426,0.38,0.45153061224489793,0.7448979591836735,0.7028301886792453,0.5849056603773585
7,0.7886267465634027,0.8696762827498403,0.6203473945409429,0.572139303482587,0.6531868772167937,0.575507637017071,0.6559235500655511,0.6101262226810125,0.6203473945409429,0.572139303482587,0.6206495191883822,0.5700853906431194,0.41509433962264153,0.74,0.32490566037735846,0.5365189577717879,0,0.7722772277227723,0.74,0.5127551020408163,0.5714285714285714,0.6745283018867925,0.41509433962264153
8,0.823594734627319,0.8649096589776414,0.5955334987593052,0.6218905472636815,0.6291373265166332,0.5861558208188936,0.6202481646650381,0.6221312597967011,0.5955334987593052,0.6218905472636815,0.5930601059732971,0.6152832735547071,0.42,0.7346938775510204,0.31469387755102046,0.5483925555127711,0,0.7376237623762376,0.42,0.4846938775510204,0.7346938775510204,0.6650943396226415,0.6037735849056604
9,0.8094652327651125,0.8993582108720618,0.5794044665012407,0.5920398009950248,0.6169717279775725,0.6068181234758053,0.6129216815848278,0.6619472722003547,0.5794044665012407,0.5920398009950248,0.5781054989435479,0.6010854446464636,0.5094339622641509,0.76,0.25056603773584907,0.5767501989475035,0,0.7128712871287128,0.76,0.45408163265306123,0.5510204081632653,0.6839622641509434,0.5094339622641509
10,0.8058105054179728,0.7855111025459137,0.5955334987593052,0.582089552238806,0.6311476112955924,0.6344243357720446,0.6231930541578,0.6530942127308124,0.5955334987593052,0.582089552238806,0.5935379672764569,0.5756954975567794,0.41836734693877553,0.9,0.4816326530612245,0.5766284174046976,0,0.7277227722772277,0.9,0.4770408163265306,0.41836734693877553,0.6886792452830188,0.5849056603773585
11,0.7950715299871364,0.8007704683797277,0.6253101736972705,0.5970149253731343,0.6563547238435818,0.6277936080092414,0.6557573574166217,0.6161786306562426,0.6253101736972705,0.5970149253731343,0.6250828187855237,0.5930269055665071,0.4897959183673469,0.7735849056603774,0.2837889872930305,0.5937389295340778,0,0.7574257425742574,0.62,0.5229591836734694,0.4897959183673469,0.6886792452830188,0.7735849056603774
