epoch,train_loss,val_loss,train_acc,val_acc,train_balanced_acc,val_balanced_acc,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1,val_min_class_acc,val_max_class_acc,val_class_gap,val_composite_score,fairness_ok,train_class_acc_Discoide,val_class_acc_Discoide,train_class_acc_Levallois,val_class_acc_Levallois,train_class_acc_Laminaire,val_class_acc_Laminaire
1,1.0505754987645592,5.712457420802353,0.45590062111801244,0.2623762376237624,0.49665754784031324,0.3333333333333333,0.4866734538560471,0.06884129006960102,0.45590062111801244,0.2623762376237624,0.4489622069302617,0.10906620073772083,0.0,1.0,1.0,0.21333333333333332,0,0.6119402985074627,0.0,0.32142857142857145,0.0,0.5566037735849056,1.0
2,0.9362277500377679,1.038008733551101,0.5031055900621118,0.43564356435643564,0.5319444683909422,0.5223284282266366,0.5211185505098315,0.59389847653496,0.5031055900621118,0.43564356435643564,0.501203756401457,0.37539022642306985,0.1326530612244898,0.9245283018867925,0.7918752406623026,0.42730339934716033,0,0.6169154228855721,0.5098039215686274,0.40816326530612246,0.1326530612244898,0.5707547169811321,0.9245283018867925
3,0.8853205396521906,0.8154317199593724,0.5204968944099378,0.5643564356435643,0.5718198572022445,0.6226339592440749,0.5538864228039707,0.634621152342425,0.5204968944099378,0.5643564356435643,0.5099603306920066,0.5561643418036385,0.3673469387755102,0.7647058823529411,0.3973589435774309,0.5749508860147833,0,0.7313432835820896,0.7647058823529411,0.3520408163265306,0.3673469387755102,0.6320754716981132,0.7358490566037735
4,0.8583116268519289,0.7921543699679988,0.5416149068322982,0.6485148514851485,0.5719555540229797,0.6365728681409671,0.5570846305432372,0.649452533488643,0.5416149068322982,0.6485148514851485,0.5385696870114458,0.6488773877387739,0.49019607843137253,0.7358490566037735,0.245652978172401,0.607094510760279,1,0.6965174129353234,0.49019607843137253,0.44387755102040816,0.6836734693877551,0.5754716981132075,0.7358490566037735
5,0.8620757640518757,0.9285282746399983,0.5614906832298137,0.504950495049505,0.5886546442476361,0.5922079523633353,0.5809303650451872,0.6064614525968726,0.5614906832298137,0.504950495049505,0.5608206173605993,0.4756852413703748,0.21428571428571427,0.9019607843137255,0.6876750700280112,0.509686943959974,0,0.6666666666666666,0.9019607843137255,0.4719387755102041,0.21428571428571427,0.6273584905660378,0.660377358490566
6,0.8671192040354568,0.8201151578733237,0.5639751552795031,0.6732673267326733,0.5999656926508518,0.6523464731804672,0.5902256555718368,0.6760635740993455,0.5639751552795031,0.6732673267326733,0.5607088823320728,0.6624978541929962,0.39215686274509803,0.8301886792452831,0.438031816500185,0.599782655200445,0,0.7213930348258707,0.39215686274509803,0.44642857142857145,0.7346938775510204,0.6320754716981132,0.8301886792452831
7,0.8350961740712942,0.8094002887754157,0.5726708074534161,0.5742574257425742,0.6185360420334473,0.6188714479502493,0.61610571033512,0.6688462684366621,0.5726708074534161,0.5742574257425742,0.5675263555976562,0.579459404599275,0.42857142857142855,0.8431372549019608,0.41456582633053224,0.5691235487905855,0,0.7412935323383084,0.8431372549019608,0.42091836734693877,0.42857142857142855,0.6933962264150944,0.5849056603773585
8,0.8484318657691434,0.7900432230222343,0.5888198757763975,0.6138613861386139,0.6198604430038231,0.6335439836311884,0.6056068075766583,0.6546636660885736,0.5888198757763975,0.6138613861386139,0.5862339372485755,0.6181417456724273,0.5510204081632653,0.7647058823529411,0.21368547418967587,0.6079017267284272,1,0.7213930348258707,0.7647058823529411,0.4872448979591837,0.5510204081632653,0.6509433962264151,0.5849056603773585
9,0.8412334936746159,0.8027124640965225,0.591304347826087,0.6089108910891089,0.6114869114828885,0.6043260071324127,0.6076118093206035,0.6265747563766516,0.591304347826087,0.6089108910891089,0.5922085480305355,0.6144991260528367,0.5490196078431373,0.6415094339622641,0.09248982611912682,0.5932272279981174,1,0.681592039800995,0.5490196078431373,0.5255102040816326,0.6224489795918368,0.6273584905660378,0.6415094339622641
10,0.8383392225881541,0.7809091145449346,0.5590062111801242,0.5841584158415841,0.6025123228677559,0.6194049947022835,0.592604270455068,0.6309464985630163,0.5590062111801242,0.5841584158415841,0.553905710657629,0.5845288004976704,0.46938775510204084,0.803921568627451,0.3345338135254102,0.5792609370792343,0,0.7313432835820896,0.803921568627451,0.41581632653061223,0.46938775510204084,0.660377358490566,0.5849056603773585
