Flake ID,True Labels,Predicted Labels
LABO30_018,1,1
MIBR82_013,1,1
7_020,0,0
MIBR80_002,1,0
MIBR09_026,1,2
MIBR10_032,1,0
MIBR67_016,2,0
LABO29_028,1,1
MIBR67_005,2,0
LABO55_014,2,2
MIBR11_030,1,1
LABO55_011,2,2
MIBR68_018,2,0
MIBR166_021,2,1
MIBR67_006,2,0
1_004,0,0
2_007,0,0
MIBR108_014,1,0
LABO30_038,1,1
MIBR11_014,1,1
ANPO1_030,2,2
MIBR46_036,1,1
MIBR16_001,1,0
MIBR43_023,1,0
MIBR77_014,1,1
MIBR68_017,2,2
LABO30_010,1,2
MIBR166_018,2,2
ANPO1_025,2,2
LABO25_006,0,1
MIBR26_011,0,0
LABO25_022,0,1
MIBR45_015,1,1
MIBR27_006,0,1
MIBR11_032,1,2
LABO30_034,1,1
MIBR43_004,1,0
MIBR93_009,2,1
JAPE1_003,2,2
MIBR64_026,2,2
MIBR78_033,0,0
JAPE1_022,2,2
MIBR45_012,1,0
MIBR09_009,1,1
LABO30_030,1,1
LABO55_017,2,2
MIBR78_031,0,0
LABO55_023,2,0
LABO30_044,1,1
ANPO1_020,2,2
MIBR166_016,2,2
LABO30_005,1,0
MIBR23_005,0,0
MIBR10_006,1,1
MIBR09_017,1,1
MIBR77_020,1,1
MIBR44_014,1,1
MIBR46_013,1,1
MIBR70_002,2,2
MIBR63_015,2,2
MIBR09_033,1,0
MIBR10_010,1,0
MIBR78_030,0,0
ANPO1_016,2,2
LABO55_002,2,0
MIBR166_014,2,2
MIBR78_029,0,1
LABO3_003,1,0
LABO3_019,1,1
MIBR82_011,1,1
MIBR166_037,2,1
MIBR78_032,0,0
JAPE1_024,2,2
ANPO1_032,2,2
3_008,0,1
MIBR82_021,1,2
5_001,0,1
MIBR10_026,1,0
MIBR45_001,1,0
MIBR23_019,0,1
JAPE1_032,2,2
LABO3_034,1,0
MIBR93_008,2,1
LABO3_023,1,1
MIBR44_003,1,1
6_002,0,0
MIBR166_020,2,2
MIBR11_024,1,1
MIBR45_021,1,1
LABO25_027,0,0
5_009,0,0
ANPO1_026,2,2
10_004,0,0
MIBR93_013,2,1
MIBR93_015,2,0
MIBR108_001,1,0
LABO55_008,2,1
MIBR64_025,2,2
3_011,0,0
LABO55_020,2,2
MIBR46_009,1,0
ANPO1_004,2,2
JAPE1_035,2,2
MIBR23_008,0,0
MIBR11_003,1,0
MIBR43_013,1,1
MIBR63_010,2,1
MIBR64_027,2,2
MIBR11_001,1,0
MIBR70_009,2,2
LABO30_029,1,1
MIBR108_009,1,0
MIBR80_023,0,0
LABO25_008,0,0
MIBR11_010,1,1
MIBR82_030,1,0
8_006,0,0
MIBR46_023,1,1
MIBR16_009,1,0
MIBR11_007,1,0
MIBR166_041,2,0
2_004,0,0
MIBR82_005,1,0
LABO25_015,0,0
LABO30_007,1,0
MIBR45_013,1,0
ANPO1_010,2,2
MIBR166_025,2,2
1_007,0,0
9_005,0,0
LABO55_019,2,2
4_001,0,0
LABO29_007,1,2
5_014,0,0
LABO25_029,0,2
MIBR11_019,1,1
MIBR64_014,2,1
LABO30_020,1,1
MIBR166_010,2,2
LABO30_032,1,1
MIBR108_026,1,2
MIBR43_016,1,2
MIBR78_001,1,1
MIBR28_002,0,0
MIBR78_007,1,0
MIBR23_018,0,0
MIBR11_036,1,1
MIBR45_005,1,0
10_001,0,0
MIBR78_024,0,0
LABO3_026,1,1
MIBR09_021,1,1
