Flake ID,True Labels,Predicted Labels
MIBR82_029,1,0
LABO25_028,0,0
MIBR11_022,1,1
MIBR166_023,2,2
MIBR26_004,0,1
MIBR82_040,0,0
MIBR28_001,0,0
MIBR23_002,0,0
MIBR67_002,2,2
9_004,0,1
LABO55_005,2,0
5_017,0,0
MIBR10_007,1,1
MIBR46_017,1,0
LABO3_035,1,1
MIBR108_018,1,2
LABO30_028,1,2
MIBR11_004,1,0
MIBR16_015,1,1
MIBR80_012,1,0
MIBR10_014,1,1
MIBR70_004,2,2
MIBR166_015,2,2
MIBR27_007,0,1
MIBR27_002,0,0
JAPE1_015,2,2
MIBR82_037,0,0
MIBR77_022,1,0
9_003,0,1
MIBR166_030,2,2
LABO3_030,1,1
MIBR82_022,1,2
LABO30_049,1,1
MIBR82_035,0,0
4_002,0,0
MIBR11_016,1,1
LABO29_005,1,0
MIBR11_040,1,1
MIBR43_009,1,0
3_010,0,0
MIBR93_010,2,2
MIBR64_021,2,2
MIBR64_022,2,2
LABO30_041,1,1
LABO3_014,1,2
MIBR78_004,1,0
JAPE1_006,2,2
MIBR44_004,1,0
MIBR46_012,1,2
LABO30_045,1,1
LABO30_021,1,2
LABO3_028,1,1
MIBR10_030,1,0
1_006,0,0
5_011,0,0
MIBR82_017,1,2
MIBR10_001,1,0
MIBR44_002,1,0
MIBR46_037,1,1
MIBR63_008,2,1
MIBR09_024,1,0
MIBR10_002,1,0
MIBR09_010,1,1
MIBR70_012,2,1
MIBR45_024,1,1
MIBR10_029,1,0
2_009,0,0
MIBR70_014,2,0
MIBR68_005,2,2
MIBR11_011,1,2
7_018,0,0
MIBR77_015,1,0
MIBR78_010,1,1
MIBR166_042,2,2
LABO30_016,1,0
MIBR64_003,2,1
4_005,0,0
MIBR70_010,2,1
MIBR68_001,2,1
7_007,0,0
MIBR23_011,0,0
MIBR70_007,2,2
MIBR27_016,0,2
LABO3_036,1,2
10_006,0,0
MIBR10_019,1,2
MIBR78_020,1,0
LABO3_009,1,0
MIBR09_007,1,2
MIBR09_012,1,1
4_003,0,0
JAPE1_017,2,2
MIBR82_034,0,0
MIBR64_023,2,1
MIBR46_015,1,1
MIBR64_008,2,2
MIBR26_002,0,0
MIBR82_032,1,1
MIBR108_027,1,2
LABO3_038,1,0
MIBR10_028,1,2
MIBR27_014,0,1
3_005,0,0
LABO55_021,2,2
MIBR10_003,1,1
MIBR108_028,1,0
LABO3_017,1,1
LABO29_014,1,2
7_019,0,0
MIBR77_024,0,0
3_001,0,0
MIBR43_014,1,1
MIBR26_001,0,0
MIBR64_029,2,2
ANPO1_028,2,2
LABO29_023,1,1
MIBR45_016,1,0
MIBR44_007,1,0
MIBR10_012,1,0
MIBR23_016,0,0
MIBR166_008,2,2
MIBR80_018,1,0
MIBR80_003,1,0
7_013,0,0
MIBR43_006,1,0
MIBR108_008,1,0
7_006,0,0
ANPO1_031,2,2
MIBR93_019,2,2
MIBR45_007,1,1
LABO55_004,2,2
MIBR28_004,0,0
MIBR64_004,2,0
MIBR68_019,2,2
MIBR108_023,1,1
MIBR82_026,1,0
LABO29_033,1,2
5_003,0,0
MIBR108_002,1,0
MIBR82_012,1,1
LABO30_040,1,1
MIBR23_015,0,0
LABO3_029,1,0
MIBR64_018,2,1
MIBR82_009,1,1
MIBR44_015,1,0
7_001,0,0
LABO30_022,1,2
MIBR80_013,1,0
MIBR67_007,2,2
LABO25_017,0,0
MIBR46_002,1,0
LABO3_033,1,0
MIBR77_016,1,0
MIBR45_025,1,2
MIBR10_008,1,0
LABO30_050,1,2
MIBR82_023,1,2
8_005,0,0
MIBR09_028,1,1
MIBR78_035,0,1
LABO55_001,2,0
LABO30_051,1,2
JAPE1_012,2,2
MIBR64_002,2,0
LABO25_012,0,1
LABO29_009,1,0
MIBR82_027,1,1
MIBR80_020,0,0
LABO30_052,1,2
6_010,0,0
MIBR70_019,2,2
MIBR166_032,2,2
MIBR46_011,1,1
6_008,0,0
MIBR93_024,2,2
MIBR108_019,1,0
MIBR108_004,1,0
LABO30_001,1,1
MIBR46_025,1,1
MIBR11_028,1,1
JAPE1_005,2,2
MIBR28_009,0,0
LABO3_022,1,0
MIBR166_036,2,1
3_016,0,0
MIBR09_040,1,2
5_010,0,0
MIBR77_023,1,0
MIBR68_010,2,2
7_002,0,0
ANPO1_006,2,2
MIBR09_019,1,2
6_016,0,0
MIBR82_024,1,1
MIBR11_029,1,1
LABO29_010,1,1
MIBR93_025,2,0
LABO30_048,1,2
MIBR27_011,0,2
LABO30_017,1,1
MIBR78_011,1,1
LABO25_011,0,0
MIBR77_004,1,2
MIBR108_017,1,1
JAPE1_023,2,2
MIBR28_011,0,0
2_011,0,0
MIBR46_020,1,2
MIBR82_007,1,0
6_003,0,0
LABO55_007,2,2
MIBR10_022,1,0
MIBR23_021,0,0
MIBR93_017,2,1
JAPE1_019,2,2
MIBR77_003,1,0
MIBR93_002,2,0
5_004,0,0
MIBR09_004,1,1
ANPO1_017,2,2
MIBR28_016,0,1
MIBR108_003,1,0
MIBR82_018,1,0
MIBR43_019,1,1
MIBR70_013,2,2
MIBR11_012,1,1
LABO30_042,1,1
7_004,0,0
3_006,0,0
6_014,0,0
LABO30_008,1,2
MIBR23_014,0,1
LABO25_003,0,0
MIBR11_005,1,1
MIBR82_003,1,0
MIBR108_022,1,0
MIBR64_019,2,0
8_008,0,0
MIBR44_016,1,1
MIBR43_015,1,2
MIBR46_022,1,1
MIBR28_007,0,0
5_016,0,0
MIBR16_005,1,1
MIBR46_034,1,1
MIBR70_008,2,2
MIBR44_005,1,2
MIBR64_015,2,1
MIBR43_021,1,0
MIBR26_003,0,0
LABO30_025,1,2
ANPO1_013,2,2
MIBR78_015,1,0
MIBR10_018,1,1
MIBR43_002,1,2
MIBR10_011,1,1
MIBR63_013,2,2
JAPE1_008,2,2
ANPO1_033,2,2
MIBR64_013,2,0
7_017,0,1
MIBR78_036,0,0
MIBR166_019,2,2
LABO30_015,1,1
MIBR80_004,1,0
MIBR64_009,2,1
LABO25_004,0,0
6_012,0,0
MIBR78_002,1,0
MIBR70_011,2,2
LABO25_014,0,0
MIBR166_002,2,2
MIBR166_035,2,1
MIBR10_020,1,0
MIBR09_015,1,1
9_002,0,0
ANPO1_021,2,1
LABO30_003,1,0
JAPE1_009,2,2
MIBR28_015,0,0
MIBR10_025,1,0
MIBR77_005,1,2
MIBR46_024,1,1
10_008,0,0
MIBR63_004,2,0
MIBR166_022,2,2
MIBR93_016,2,1
MIBR46_039,1,1
LABO30_006,1,0
MIBR68_012,2,0
JAPE1_007,2,2
MIBR93_020,2,2
MIBR93_022,2,1
LABO3_037,1,1
ANPO1_019,2,2
MIBR23_013,0,0
LABO29_002,1,0
MIBR67_014,2,2
LABO3_006,1,0
MIBR93_012,2,1
MIBR09_029,1,1
MIBR26_009,0,0
JAPE1_033,2,2
MIBR80_014,1,1
MIBR166_005,2,2
MIBR63_005,2,0
MIBR67_008,2,2
MIBR09_038,1,1
MIBR77_001,1,0
LABO3_005,1,0
MIBR108_011,1,2
MIBR77_008,1,1
LABO25_005,0,1
MIBR28_008,0,1
7_015,0,1
MIBR63_012,2,1
MIBR64_010,2,2
LABO30_036,1,2
MIBR45_018,1,0
MIBR63_006,2,2
6_011,0,1
3_012,0,0
6_006,0,0
MIBR166_040,2,1
MIBR78_018,1,0
MIBR44_008,1,1
7_016,0,0
2_002,0,0
MIBR26_013,0,1
LABO3_001,1,0
MIBR46_014,1,1
3_007,0,1
LABO29_012,1,1
LABO3_025,1,1
MIBR43_008,1,1
LABO55_024,2,0
MIBR82_041,0,0
JAPE1_011,2,2
LABO29_026,1,1
MIBR23_009,0,0
MIBR70_021,2,0
MIBR70_018,2,2
MIBR77_013,1,2
MIBR11_037,1,1
6_015,0,0
MIBR16_014,1,2
MIBR10_004,1,1
MIBR77_021,1,1
MIBR45_028,1,0
LABO25_001,0,0
MIBR43_026,1,0
MIBR27_001,0,0
MIBR82_038,0,1
MIBR46_007,1,2
6_009,0,1
MIBR10_016,1,1
LABO55_010,2,2
MIBR77_025,0,1
MIBR70_005,2,2
MIBR46_032,1,1
LABO29_003,1,0
MIBR11_021,1,1
MIBR82_010,1,0
MIBR166_006,2,2
LABO25_021,0,0
MIBR26_005,0,1
LABO3_007,1,0
MIBR78_027,0,1
MIBR16_011,1,1
3_017,0,0
8_007,0,0
MIBR67_013,2,1
LABO55_018,2,2
MIBR93_006,2,2
JAPE1_026,2,2
MIBR78_034,0,0
MIBR77_009,1,0
MIBR09_032,1,1
LABO25_010,0,0
MIBR70_015,2,2
1_003,0,0
MIBR80_008,1,1
MIBR46_028,1,1
MIBR27_008,0,0
MIBR68_009,2,1
3_013,0,0
MIBR09_025,1,1
MIBR80_011,1,1
MIBR93_004,2,1
MIBR93_014,2,0
MIBR10_009,1,0
MIBR80_001,1,1
5_012,0,1
10_003,0,0
LABO29_017,1,1
LABO29_029,1,1
LABO30_013,1,2
MIBR77_026,0,0
ANPO1_022,2,2
MIBR46_030,1,1
MIBR10_017,1,1
MIBR43_018,1,0
LABO30_011,1,2
MIBR16_008,1,0
LABO55_003,2,0
LABO30_026,1,1
LABO55_013,2,1
5_006,0,0
5_013,0,1
MIBR77_018,1,0
8_004,0,0
5_020,0,1
MIBR43_005,1,1
MIBR70_003,2,2
MIBR70_016,2,2
7_005,0,0
MIBR43_007,1,0
LABO25_002,0,0
2_008,0,0
MIBR45_023,1,0
MIBR78_019,1,1
MIBR27_004,0,0
LABO25_026,0,0
MIBR64_011,2,0
LABO30_014,1,1
MIBR16_006,1,0
8_002,0,0
MIBR46_010,1,1
MIBR46_027,1,1
9_006,0,0
ANPO1_001,2,2
JAPE1_036,2,2
ANPO1_015,2,2
LABO30_012,1,1
MIBR11_006,1,0
LABO29_036,1,2
MIBR27_010,0,0
ANPO1_003,2,2
MIBR43_022,1,0
MIBR11_033,1,1
MIBR64_016,2,1
MIBR68_004,2,1
MIBR78_005,1,0
MIBR63_016,2,2
3_019,0,0
ANPO1_002,2,2
LABO30_035,1,1
LABO25_023,0,0
MIBR64_005,2,2
JAPE1_013,2,2
MIBR108_025,1,1
MIBR108_006,1,0
MIBR82_019,1,1
MIBR82_043,0,0
LABO29_037,1,1
ANPO1_029,2,2
MIBR78_012,1,0
LABO3_002,1,1
MIBR10_031,1,1
MIBR82_031,1,0
ANPO1_034,2,2
MIBR78_028,0,0
LABO3_032,1,1
MIBR09_030,1,1
MIBR77_002,1,2
MIBR44_018,1,1
3_004,0,0
LABO3_041,1,0
MIBR23_010,0,0
MIBR28_014,0,0
ANPO1_008,2,2
7_012,0,0
MIBR27_015,0,1
JAPE1_028,2,2
MIBR46_018,1,0
LABO30_004,1,2
MIBR44_013,1,0
MIBR77_007,1,0
LABO3_015,1,2
MIBR80_017,1,0
LABO30_053,1,2
10_005,0,0
ANPO1_023,2,2
MIBR166_004,2,2
MIBR46_004,1,0
MIBR46_021,1,1
MIBR166_003,2,1
MIBR11_034,1,1
MIBR108_029,1,2
MIBR43_025,1,0
MIBR68_014,2,0
MIBR45_011,1,0
MIBR23_020,0,0
MIBR78_026,0,0
LABO3_013,1,2
MIBR68_002,2,1
JAPE1_021,2,2
MIBR45_002,1,2
4_004,0,0
ANPO1_014,2,2
LABO30_043,1,2
LABO29_013,1,0
3_009,0,0
MIBR64_017,2,2
MIBR44_006,1,2
MIBR46_003,1,1
10_002,0,0
MIBR63_011,2,1
MIBR16_004,1,0
MIBR45_004,1,0
LABO3_016,1,1
MIBR09_039,1,1
MIBR108_024,1,2
MIBR46_040,1,2
MIBR78_013,1,1
MIBR09_016,1,1
LABO3_004,1,0
3_018,0,0
MIBR166_007,2,1
7_011,0,0
MIBR26_006,0,0
MIBR78_016,1,1
LABO29_030,1,1
ANPO1_005,2,2
5_002,0,0
MIBR166_039,2,0
MIBR09_011,1,2
3_003,0,0
LABO30_024,1,1
LABO25_013,0,0
MIBR11_035,1,1
MIBR108_005,1,1
LABO30_023,1,1
MIBR68_016,2,2
JAPE1_020,2,2
LABO3_024,1,0
2_006,0,0
MIBR80_016,1,1
MIBR78_014,1,1
MIBR93_011,2,2
MIBR67_001,2,2
MIBR10_005,1,0
MIBR45_014,1,0
LABO30_033,1,1
8_001,0,1
MIBR68_003,2,1
MIBR166_012,2,2
LABO30_019,1,1
JAPE1_014,2,2
MIBR11_008,1,1
MIBR67_011,2,2
MIBR28_010,0,0
MIBR78_021,1,1
MIBR10_021,1,0
MIBR11_031,1,1
MIBR78_025,0,2
MIBR10_024,1,1
LABO25_019,0,0
MIBR46_008,1,1
MIBR78_003,1,0
JAPE1_018,2,2
MIBR09_014,1,1
MIBR68_013,2,2
MIBR93_021,2,2
LABO29_019,1,2
MIBR68_020,2,2
MIBR82_044,0,0
JAPE1_037,2,0
MIBR44_020,1,0
MIBR27_012,0,1
MIBR11_025,1,1
MIBR82_006,1,0
7_003,0,0
JAPE1_029,2,2
MIBR77_006,1,0
MIBR46_019,1,1
MIBR67_004,2,1
MIBR93_018,2,2
MIBR108_012,1,0
MIBR43_012,1,1
MIBR44_012,1,0
MIBR166_001,2,1
6_005,0,0
MIBR23_012,0,0
MIBR77_010,1,1
MIBR82_014,1,0
MIBR43_003,1,0
MIBR46_029,1,2
MIBR10_023,1,1
LABO30_047,1,2
MIBR82_042,0,0
MIBR78_022,1,1
MIBR63_014,2,1
LABO55_016,2,0
MIBR28_005,0,0
LABO25_018,0,0
MIBR166_029,2,2
MIBR23_006,0,0
MIBR68_011,2,0
MIBR46_001,1,1
5_008,0,0
JAPE1_004,2,2
MIBR09_020,1,1
MIBR80_006,1,1
MIBR09_035,1,1
MIBR46_041,1,1
MIBR93_007,2,1
6_007,0,0
MIBR82_015,1,2
JAPE1_027,2,2
MIBR46_033,1,1
ANPO1_027,2,2
MIBR78_023,0,0
MIBR82_001,1,0
1_005,0,0
MIBR166_013,2,2
MIBR80_024,0,0
MIBR68_007,2,2
LABO29_021,1,1
MIBR63_002,2,0
LABO3_010,1,1
LABO30_039,1,1
MIBR44_009,1,0
MIBR82_036,0,0
MIBR11_013,1,0
MIBR67_003,2,2
LABO29_006,1,1
JAPE1_010,2,2
MIBR28_012,0,0
MIBR108_016,1,1
JAPE1_016,2,2
MIBR26_008,0,0
MIBR77_012,1,0
MIBR16_010,1,0
MIBR45_027,1,0
MIBR10_027,1,1
LABO29_015,1,1
MIBR27_003,0,1
MIBR16_013,1,0
MIBR64_007,2,2
LABO30_009,1,0
MIBR45_026,1,1
MIBR11_009,1,1
MIBR46_031,1,1
MIBR11_017,1,1
MIBR108_013,1,1
MIBR09_018,1,2
JAPE1_001,2,2
MIBR44_017,1,1
LABO29_011,1,0
MIBR45_019,1,0
MIBR11_038,1,1
