epoch,train_loss,val_loss,train_acc,val_acc,train_balanced_acc,val_balanced_acc,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1,val_min_class_acc,val_max_class_acc,val_class_gap,val_composite_score,fairness_ok,train_class_acc_Discoide,val_class_acc_Discoide,train_class_acc_Levallois,val_class_acc_Levallois,train_class_acc_Laminaire,val_class_acc_Laminaire
0,0.9763785921610318,3.8628025395529613,0.533498759305211,0.263681592039801,0.5195478200912476,0.3333333333333333,0.5334865238013264,0.06952798198064405,0.533498759305211,0.263681592039801,0.5333188759899433,0.11004034943393269,0.0,1.0,1.0,0.15333333333333332,False,0.4207920792079208,0.0,0.576530612244898,0.0,0.5613207547169812,1.0
1,0.8300254528339093,2.4068709782191684,0.6426799007444168,0.263681592039801,0.6150953769683838,0.3333333333333333,0.6467882777426485,0.06952798198064405,0.6426799007444168,0.263681592039801,0.6405292075874882,0.11004034943393269,0.0,1.0,1.0,0.15333333333333332,False,0.5445544554455446,0.0,0.7346938775510204,0.0,0.5660377358490566,1.0
2,0.7910700165308439,0.9703579204423087,0.630272952853598,0.5472636815920398,0.6120350360870361,0.4860403029136182,0.6344151621587282,0.5477773077930186,0.630272952853598,0.5472636815920398,0.6302658679527222,0.5260723782232912,0.2830188572406769,0.7551020383834839,0.472083181142807,0.40106533030791297,False,0.5693069306930693,0.42,0.6913265306122449,0.7551020408163265,0.5754716981132075,0.2830188679245283
3,0.8095912302915866,0.9642817378044128,0.6513647642679901,0.5074626865671642,0.635055422782898,0.5753638814016173,0.6568759873420217,0.5460729975851736,0.6513647642679901,0.5074626865671642,0.6515964422194527,0.48327021044827356,0.2857142984867096,0.7799999713897705,0.4942856729030609,0.48639246027906635,False,0.6089108910891089,0.78,0.7066326530612245,0.2857142857142857,0.589622641509434,0.660377358490566
4,0.7589805859785813,0.8588422196252006,0.6799007444168734,0.582089552238806,0.6531906723976135,0.5851983057373893,0.6802236395456734,0.5999723604201216,0.6799007444168734,0.582089552238806,0.6772241202609258,0.5791979618998006,0.43396225571632385,0.7400000095367432,0.3060377538204193,0.5301115100497138,False,0.5643564356435643,0.74,0.7678571428571429,0.5816326530612245,0.6273584905660378,0.4339622641509434
5,0.7690112923200314,0.9277964915548053,0.6985111662531017,0.5472636815920398,0.6881852149963379,0.5193171608265947,0.7091256100857843,0.5488625804373568,0.6985111662531017,0.5472636815920398,0.7002170301741737,0.5430233862716002,0.4150943458080292,0.6428571343421936,0.22776278853416443,0.47831985889044515,False,0.693069306930693,0.5,0.7346938775510204,0.6428571428571429,0.6367924528301887,0.41509433962264153
6,0.7597504418629867,0.8527286989348275,0.6625310173697271,0.6069651741293532,0.6324663758277893,0.6351046078808883,0.6649143764948889,0.6398822709789673,0.6625310173697271,0.6069651741293532,0.6591370841571417,0.6064575443464219,0.5204081535339355,0.800000011920929,0.2795918583869934,0.5847780733712294,True,0.5544554455445545,0.8,0.7627551020408163,0.5204081632653061,0.5801886792452831,0.5849056603773585
7,0.7459631906105921,0.9118742346763611,0.6898263027295285,0.5472636815920398,0.6677796244621277,0.5595019894750353,0.6880635988683397,0.5543024286415763,0.6898263027295285,0.5472636815920398,0.6874613768384624,0.5469836415976006,0.5102040767669678,0.6399999856948853,0.12979590892791748,0.5361387258680101,True,0.5544554455445545,0.64,0.7602040816326531,0.5102040816326531,0.6886792452830188,0.5283018867924528
8,0.7097490086005285,0.8780966401100159,0.6612903225806451,0.5970149253731343,0.6413910388946533,0.5768117058144012,0.6658891085981744,0.5965135562497589,0.6612903225806451,0.5970149253731343,0.6614731076834329,0.5956000494376468,0.5199999809265137,0.6632652878761292,0.14326530694961548,0.5510239505634704,True,0.5792079207920792,0.52,0.7270408163265306,0.6632653061224489,0.6179245283018868,0.5471698113207547
9,0.6951220551362405,0.8211901613644191,0.7022332506203474,0.6268656716417911,0.6826815605163574,0.6333846746245668,0.704326873261544,0.6293322353946201,0.7022332506203474,0.6268656716417911,0.7017630436710928,0.6266631915431126,0.6000000238418579,0.698113203048706,0.09811317920684814,0.6157243023673341,True,0.594059405940594,0.6,0.7653061224489796,0.6020408163265306,0.6886792452830188,0.6981132075471698
10,0.7052088792507465,0.8142027429171971,0.6761786600496278,0.6268656716417911,0.6678466796875,0.6468232576049288,0.681011899322837,0.641403944028751,0.6761786600496278,0.6268656716417911,0.677417441423602,0.6271799054083286,0.5612244606018066,0.699999988079071,0.1387755274772644,0.6218436626590211,True,0.6485148514851485,0.7,0.7040816326530612,0.5612244897959183,0.6509433962264151,0.6792452830188679
11,0.7034955253967872,0.8015715565000262,0.6972704714640199,0.6268656716417911,0.6747148036956787,0.6450673854447438,0.699756005724763,0.6387216972753763,0.6972704714640199,0.6268656716417911,0.6965034738851243,0.6260825359302136,0.5714285969734192,0.7599999904632568,0.18857139348983765,0.6111245346165731,True,0.5792079207920792,0.76,0.7704081632653061,0.5714285714285714,0.6745283018867925,0.6037735849056604
12,0.6793654102545518,0.8045614617211478,0.7196029776674938,0.6119402985074627,0.7140371203422546,0.5768425105891413,0.7214646572480946,0.6148823939410648,0.7196029776674938,0.6119402985074627,0.7201569248359592,0.6061275608363873,0.4399999976158142,0.7244898080825806,0.28448981046676636,0.5256343447051233,False,0.6831683168316832,0.44,0.7372448979591837,0.7244897959183674,0.7216981132075472,0.5660377358490566
13,0.6927285056847793,0.8782783576420375,0.7096774193548387,0.6467661691542289,0.6973037123680115,0.6615607752534977,0.7100639977169455,0.6575698621321253,0.7096774193548387,0.6467661691542289,0.7095540599795508,0.64665800530168,0.6020408272743225,0.7599999904632568,0.15795916318893433,0.6331281258794895,True,0.6485148514851485,0.76,0.75,0.6020408163265306,0.6933962264150944,0.6226415094339622
14,0.6750244635802048,0.8317617092813764,0.7158808933002482,0.6318407960199005,0.7043440341949463,0.6158156847644718,0.7243248075196151,0.6323515810919912,0.7158808933002482,0.6318407960199005,0.7172884458854902,0.6307353704620423,0.5600000023841858,0.6836734414100647,0.1236734390258789,0.5935544657398136,True,0.6881188118811881,0.56,0.7551020408163265,0.6836734693877551,0.6698113207547169,0.6037735849056604
15,0.6541851002436417,0.8262611372130257,0.7295285359801489,0.5870646766169154,0.716040849685669,0.5590809908869208,0.7295816248847248,0.5892899493318451,0.7295285359801489,0.5870646766169154,0.7291477079945692,0.5811750649061503,0.4000000059604645,0.6734693646430969,0.27346935868263245,0.5098565063240469,False,0.6534653465346535,0.4,0.7729591836734694,0.673469387755102,0.7216981132075472,0.6037735849056604
16,0.640720513004523,0.8973211050033569,0.7196029776674938,0.5920398009950248,0.7090610861778259,0.5705223976383006,0.7254541672500011,0.5905982413545168,0.7196029776674938,0.5920398009950248,0.7205857514744652,0.5901284249284048,0.5199999809265137,0.6632652878761292,0.14326530694961548,0.5447346423873698,True,0.6881188118811881,0.52,0.7551020408163265,0.6632653061224489,0.6839622641509434,0.5283018867924528
17,0.6679179863287852,0.8379092812538147,0.728287841191067,0.5970149253731343,0.7185454964637756,0.5608625336927223,0.7297998516193723,0.6001177568341747,0.728287841191067,0.5970149253731343,0.7285923329281889,0.5911496232969291,0.4399999976158142,0.7142857313156128,0.2742857336997986,0.5114911016267586,False,0.6831683168316832,0.44,0.7602040816326531,0.7142857142857143,0.7122641509433962,0.5283018867924528
18,0.6250117558699387,0.924174964427948,0.7468982630272953,0.5671641791044776,0.7265016436576843,0.5285252214093185,0.7491757414220359,0.5700079748147874,0.7468982630272953,0.5671641791044776,0.7461645829032035,0.5603828055082422,0.41999998688697815,0.6938775777816772,0.2738775908946991,0.4792272550482726,False,0.6534653465346535,0.42,0.8137755102040817,0.6938775510204082,0.7122641509433962,0.4716981132075472
19,0.627084840948765,0.9073059047971453,0.7258064516129032,0.6268656716417911,0.696027934551239,0.6272314208702349,0.7303633417131534,0.635385424504346,0.7258064516129032,0.6268656716417911,0.7228683422930793,0.6277901724374852,0.5799999833106995,0.6792452931404114,0.09924530982971191,0.6093672651008867,True,0.599009900990099,0.58,0.8239795918367347,0.6224489795918368,0.6650943396226415,0.6792452830188679
20,0.6775716038850638,0.8714102762086051,0.7196029776674938,0.6318407960199005,0.7021739482879639,0.6267436786035169,0.7235981382367345,0.6318086311479226,0.7196029776674938,0.6318407960199005,0.719364720127646,0.6307362618020385,0.5471698045730591,0.6800000071525574,0.1328302025794983,0.6028342421392072,True,0.6633663366336634,0.68,0.7780612244897959,0.6530612244897959,0.6650943396226415,0.5471698113207547
21,0.6303155445135556,0.7606798410415649,0.7456575682382134,0.6517412935323383,0.7414920926094055,0.6482582466949043,0.749196023584676,0.6522237298356701,0.7456575682382134,0.6517412935323383,0.7464104383690278,0.6518578686311451,0.6399999856948853,0.6632652878761292,0.023265302181243896,0.6440704923022804,True,0.7425742574257426,0.64,0.7602040816326531,0.6632653061224489,0.7216981132075472,0.6415094339622641
22,0.6305454224348068,0.7960814663342067,0.7704714640198511,0.6218905472636815,0.7600986361503601,0.5941958670260558,0.7720522689544594,0.6233635498364486,0.7704714640198511,0.6218905472636815,0.7703019112027472,0.6186593109688869,0.5283018946647644,0.7142857313156128,0.1859838366508484,0.560718776428903,True,0.7524752475247525,0.54,0.8061224489795918,0.7142857142857143,0.7216981132075472,0.5283018867924528
23,0.5953579384547013,0.8290096606527056,0.7568238213399504,0.6467661691542289,0.7391366958618164,0.6441021691695545,0.7622548040937861,0.646472184531886,0.7568238213399504,0.6467661691542289,0.7567305673129641,0.6464954140860324,0.6000000238418579,0.6792452931404114,0.07924526929855347,0.629838020695815,True,0.7029702970297029,0.6,0.8163265306122449,0.6530612244897959,0.6981132075471698,0.6792452830188679
24,0.6029513065631573,0.8115760087966919,0.7369727047146402,0.6268656716417911,0.7269752025604248,0.6012398921832883,0.7403417137762489,0.6307305231823679,0.7369727047146402,0.6268656716417911,0.7374660743341511,0.6238122877612841,0.5094339847564697,0.7142857313156128,0.20485174655914307,0.5643665778026425,True,0.7029702970297029,0.58,0.7704081632653061,0.7142857142857143,0.7075471698113207,0.5094339622641509
25,0.6759510945815307,0.8114927070481437,0.728287841191067,0.6517412935323383,0.7196566462516785,0.6373302528558593,0.7292847351223578,0.6528314179327978,0.728287841191067,0.6517412935323383,0.7282878265434403,0.6493953624654106,0.5199999809265137,0.698113203048706,0.17811322212219238,0.6052698728738647,True,0.7079207920792079,0.52,0.7576530612244898,0.6938775510204082,0.6933962264150944,0.6981132075471698
26,0.6279027874653156,0.8883225321769714,0.7456575682382134,0.6019900497512438,0.7305281162261963,0.5625080220767552,0.7460203878394259,0.610568975213103,0.7456575682382134,0.6019900497512438,0.7451481996163917,0.5951460930498328,0.4528301954269409,0.7346938848495483,0.2818636894226074,0.5117725579806859,False,0.6881188118811881,0.5,0.7959183673469388,0.7346938775510204,0.7075471698113207,0.4528301886792453
27,0.618296314890568,0.8796824301992144,0.750620347394541,0.6069651741293532,0.7430603504180908,0.5809729174688743,0.7541258283219217,0.6055591648843609,0.750620347394541,0.6069651741293532,0.7515270200515901,0.5988894311610001,0.3799999952316284,0.6836734414100647,0.3036734461784363,0.5263116971567557,False,0.7178217821782178,0.38,0.7755102040816326,0.6836734693877551,0.7358490566037735,0.6792452830188679
28,0.5808402471817457,0.8271001832825797,0.7555831265508685,0.6169154228855721,0.7466173768043518,0.607498395584649,0.758194692988538,0.6167735657302387,0.7555831265508685,0.6169154228855721,0.7559376756704579,0.6151437018355694,0.5094339847564697,0.6600000262260437,0.15056604146957397,0.5803965081201257,True,0.7277227722772277,0.66,0.7857142857142857,0.6530612244897959,0.7264150943396226,0.5094339622641509
29,0.5991817105274934,0.8733306612287249,0.7481389578163772,0.6268656716417911,0.7355058789253235,0.628363496341933,0.7524100226595716,0.6282002444664485,0.7481389578163772,0.6268656716417911,0.7484237124694891,0.6271328790680641,0.6224489808082581,0.6399999856948853,0.017551004886627197,0.6252043154623401,True,0.7128712871287128,0.64,0.7908163265306123,0.6224489795918368,0.7028301886792453,0.6226415094339622
30,0.577537172115766,0.865211980683463,0.7655086848635235,0.6119402985074627,0.7500651478767395,0.5866384289564882,0.7672829344071623,0.6132526799778775,0.7655086848635235,0.6119402985074627,0.7651805424831009,0.609140028087573,0.5,0.6938775777816772,0.19387757778167725,0.5517404649557863,True,0.698019801980198,0.5,0.8163265306122449,0.6938775510204082,0.7358490566037735,0.5660377358490566
31,0.6127610905812337,0.812982840197427,0.749379652605459,0.6766169154228856,0.7336454391479492,0.6717956616608908,0.7499594049630673,0.6785354827910826,0.749379652605459,0.6766169154228856,0.74855982390497,0.6769303664826053,0.6415094137191772,0.6938775777816772,0.0523681640625,0.6623693921296407,True,0.6782178217821783,0.68,0.8010204081632653,0.6938775510204082,0.7216981132075472,0.6415094339622641
32,0.5716141496713345,0.8593478628567287,0.760545905707196,0.6467661691542289,0.7577834725379944,0.6158464895392118,0.7669093028894518,0.6506891919649106,0.760545905707196,0.6467661691542289,0.7619551769488693,0.6420080518529863,0.47999998927116394,0.7448979616165161,0.2648979723453522,0.5681648545170485,False,0.7623762376237624,0.48,0.7704081632653061,0.7448979591836735,0.7405660377358491,0.6226415094339622
33,0.5718091921164439,0.8512873819896153,0.7741935483870968,0.6666666666666666,0.7569730281829834,0.6732794249775381,0.776639518946837,0.6689767943499286,0.7741935483870968,0.6666666666666666,0.7736964294312668,0.6669562241701545,0.6428571343421936,0.7169811129570007,0.07412397861480713,0.6599371088268728,True,0.7128712871287128,0.66,0.8316326530612245,0.6428571428571429,0.7264150943396226,0.7169811320754716
34,0.5744244089493384,0.8169811793736049,0.7667493796526055,0.6467661691542289,0.7567691802978516,0.6404595045565395,0.7677548481583674,0.6509827909632168,0.7667493796526055,0.6467661691542289,0.7667684883297952,0.6460599712759963,0.5600000023841858,0.698113203048706,0.13811320066452026,0.6155991284369259,True,0.7029702970297029,0.56,0.798469387755102,0.6632653061224489,0.7688679245283019,0.6981132075471698
35,0.6000187018742928,0.8676987290382385,0.7406947890818859,0.6019900497512438,0.7354578375816345,0.5761930432550378,0.7425489684012148,0.608651740826779,0.7406947890818859,0.6019900497512438,0.7412814419896189,0.5989467414840549,0.46000000834465027,0.6836734414100647,0.22367343306541443,0.5359318253032632,False,0.7128712871287128,0.46,0.7576530612244898,0.6836734693877551,0.7358490566037735,0.5849056603773585
36,0.5659454740010775,0.8370103240013123,0.7543424317617866,0.6368159203980099,0.7452999949455261,0.6159517391862406,0.7574309323035977,0.6379493995698686,0.7543424317617866,0.6368159203980099,0.7550760604634749,0.634935118492396,0.5400000214576721,0.704081654548645,0.1640816330909729,0.5864170452298655,True,0.698019801980198,0.54,0.7831632653061225,0.7040816326530612,0.7547169811320755,0.6037735849056604
37,0.5405173909205657,0.8795264192989894,0.7692307692307693,0.5870646766169154,0.7666237950325012,0.5811834167629315,0.7707197283063189,0.5859519861012399,0.7692307692307693,0.5870646766169154,0.7695771363007019,0.5859902988119943,0.5,0.6415094137191772,0.14150941371917725,0.5557117222934796,True,0.7623762376237624,0.5,0.7780612244897959,0.6020408163265306,0.7594339622641509,0.6415094339622641
